|    |       ecoli |       glass |     letter |   optdigits |   page-blocks |   pendigits |   satimage |      vehicle |       yeast | algo            |
|---:|------------:|------------:|-----------:|------------:|--------------:|------------:|-----------:|-------------:|------------:|:----------------|
|  0 | -0.00784952 | -0.0470678  |  0.0280469 |   0.0215684 |    0.00179411 |  0.00713936 | 0.00302473 |  0.0143206   | 0.000210384 | DM              |
|  1 |  0.193854   |  0.114031   |  0.259056  |  -0.178274  |    0.0212744  | -0.0112334  | 0.0221125  |  0.00810418  | 0.0969253   | IPS             |
|  2 |  0.193854   |  0.114031   |  0.259056  |  -0.178274  |    0.0212744  | -0.0112334  | 0.0221125  |  0.00810418  | 0.0279804   | CIPS            |
|  3 |  0.0134841  | -0.00518843 |  0.0312104 |  -0.0448429 |    0.00410879 | -0.00296853 | 0.00279757 | -0.000340798 | 0.00265778  | NIPS            |
|  4 |  0.0134841  | -0.00518843 |  0.0312104 |  -0.0448429 |    0.00410879 | -0.00296853 | 0.00279757 | -0.000340798 | 0.00279804  | NCIPS           |
|  5 |  0.0694115  |  0.107965   | -0.278019  |   0.101831  |   -0.266855   | -0.322576   | 0.0837314  |  0.00106187  | 0.00279804  | Pointwise-NCIPS |
|  6 | -0.00784952 | -0.0470678  |  0.0280469 |   0.0215684 |    0.00179411 |  0.00713936 | 0.00302473 |  0.0143206   | 0.000210384 | DR-IPS          |
|  7 | -0.00784952 | -0.0470678  |  0.0280469 |   0.0215684 |    0.00179411 |  0.00713936 | 0.00302473 |  0.0143206   | 0.000210384 | DR-CIPS         |
|  8 | -0.00784952 | -0.0470678  |  0.0280469 |   0.0215684 |    0.00179411 |  0.00713936 | 0.00302473 |  0.0143206   | 0.000210384 | DR-NCIPS        |
|  9 | -0.00784952 | -0.0470678  |  0.0280469 |   0.0215684 |    0.00179411 |  0.00713936 | 0.00302473 |  0.0143206   | 0.000210384 | SWITCH-IPS      |
| 10 | -0.00784952 | -0.0470678  |  0.0280469 |   0.0215684 |    0.00179411 |  0.00713936 | 0.00302473 |  0.0143206   | 0.000210384 | SWITCH-DR       |
| 11 |  0.0487353  |  0.063933   |  0.0253065 |  -0.128049  |    0.00441499 | -0.0156476  | 0.0018863  | -0.0168534   | 0.00545677  | CAB             |
| 12 |  0.0386278  |  0.00501119 |  0.0756933 |  -0.0970537 |    0.00763819 | -0.00304267 | 0.00739125 |  0.00925506  | 0.0059486   | CAB-DR          |
