|    |    ecoli |    glass |   letter |   optdigits |   page-blocks |   pendigits |   satimage |   vehicle |     yeast | algo            |
|---:|---------:|---------:|---------:|------------:|--------------:|------------:|-----------:|----------:|----------:|:----------------|
|  0 | 0.821026 | 0.538561 | 0.773902 |    0.739466 |      0.753901 |    0.823955 |   0.883417 |  0.897791 |  0.945321 | DM              |
|  1 | 6.74925  | 3.37041  | 7.87199  |    2.78353  |      3.74876  |    4.90715  |   8.87101  |  8.95452  | 24.5293   | IPS             |
|  2 | 6.74925  | 3.37041  | 7.87199  |    2.78353  |      3.74876  |    4.90715  |   8.87101  |  8.95452  |  9.61367  | CIPS            |
|  3 | 0.855884 | 0.507216 | 0.790867 |    0.722155 |      0.754957 |    0.817125 |   0.889835 |  0.895327 |  0.947377 | NIPS            |
|  4 | 0.855884 | 0.507216 | 0.790867 |    0.722155 |      0.754957 |    0.817125 |   0.889835 |  0.895327 |  0.947337 | NCIPS           |
|  5 | 0.870679 | 0.846601 | 1.06971  |    0.826643 |      0.714493 |    0.807273 |   0.956543 |  0.893256 |  0.947337 | Pointwise-NCIPS |
|  6 | 0.821026 | 0.538561 | 0.773902 |    0.739466 |      0.753901 |    0.823955 |   0.883417 |  0.897791 |  0.945321 | DR-IPS          |
|  7 | 0.821026 | 0.538561 | 0.773902 |    0.739466 |      0.753901 |    0.823955 |   0.883417 |  0.897791 |  0.945321 | DR-CIPS         |
|  8 | 0.821026 | 0.538561 | 0.773902 |    0.739466 |      0.753901 |    0.823955 |   0.883417 |  0.897791 |  0.945321 | DR-NCIPS        |
|  9 | 0.821026 | 0.538561 | 0.773902 |    0.739466 |      0.753901 |    0.823955 |   0.883417 |  0.897791 |  0.945321 | SWITCH-IPS      |
| 10 | 0.821026 | 0.538561 | 0.773902 |    0.739466 |      0.753901 |    0.823955 |   0.883417 |  0.897791 |  0.945321 | SWITCH-DR       |
| 11 | 0.664611 | 0.110256 | 0.594421 |    0.281816 |      0.410423 |    0.525873 |   0.712782 |  0.712307 |  0.873492 | CAB             |
| 12 | 2.157    | 1.35913  | 2.1978   |    1.39995  |      1.66911  |    1.91752  |   2.32568  |  2.33286  |  2.71945  | CAB-DR          |
